data,Val0,Val1,Val2,ttype,cellnames,gmm_cluster
Ephys,-0.001016483,0.012563059,-0.007264421,Sst,SM-GE681_S029_E1-50,3
Ephys,-0.00317158,0.012753656,-0.00816866,Sst,SM-GE8X2_S182_E1-50,3
Ephys,-0.001030076,0.012030798,-0.006768997,Sst,SM-GE681_S046_E1-50,3
Ephys,-0.000652658,0.014330279,-0.008110507,Sst,SM-GE681_S053_E1-50,3
Ephys,-0.006854891,0.00559696,0.000403692,Pvalb,SM-GE681_S050_E1-50,5
Ephys,0.001570116,0.010770928,-0.003663958,Sst,SM-GE681_S047_E1-50,3
Ephys,-0.005347548,0.008769293,-0.005763234,Sst,SM-GE681_S040_E1-50,3
Ephys,0.006282811,0.005652639,0.005508728,Sst,SM-GE681_S039_E1-50,5
Ephys,-0.001206556,0.014679456,-0.007956263,Sst,SM-GE681_S041_E1-50,3
Ephys,0.000818885,0.012546701,-0.005812813,Sst,SM-GE681_S043_E1-50,3
Ephys,0.001393715,0.008163946,-0.007234144,Sst,SM-GE681_S057_E1-50,3
Ephys,-0.004966316,0.006889888,-0.004473586,Sst,SM-GE681_S044_E1-50,5
Ephys,0.001083006,0.012446256,-0.005595011,Sst,SM-GE681_S059_E1-50,3
