"data","Val0","Val1","Val2","class","cellnames","gmm_cluster"
"Ephys",0.0119204234457871,-0.0263419681839483,-0.0292578145725762,"Lamp5","SM-GE64F_S183_E1-50",4
"Ephys",0.0113132009267875,-0.024379579767762,-0.026258683843947,"Lamp5","SM-GE64F_S191_E1-50",4
"Ephys",0.0112064613520582,-0.0252750820503052,-0.0274470595545513,"Lamp5","SM-GE643_S145_E1-50",4
"Ephys",-0.0200463914483546,-0.00799592038831321,0.00528990818398537,"Pvalb","SM-GE643_S149_E1-50",2
"Ephys",-0.000686107448112311,0.0119042744038347,-0.00526022692003792,"Sst","SM-GE643_S150_E1-50",3
"Ephys",0.00322941096220208,0.00816994325480681,-0.00100789563586045,"Sst","SM-GE643_S186_E1-50",5
"Ephys",0.00100313310111028,0.0130665572949473,-0.00648759314681746,"Sst","SM-GE66I_S153_E1-50",3
"Ephys",-0.00224717069216308,0.0137411465362406,-0.00835283911064248,"Sst","SM-GE66M_S025_E1-50",3
"Ephys",-0.000848368654160744,0.00700872828682764,-0.00527762820242806,"Sst","SM-GE66M_S026_E1-50",5
"Ephys",-0.0231942838757914,-0.0109855316596682,0.00827646389578288,"Pvalb","SM-GE66M_S017_E1-50",2
"Ephys",-0.0157787381070014,-0.00821768423175387,0.00470626939730388,"Pvalb","SM-GE66P_S087_E1-50",5
"Ephys",-0.0173665389443784,-0.00503316878654969,0.00319156325627824,"Pvalb","SM-GE66C_S099_E1-50",5
"Ephys",-0.0217644440260574,-0.00983368284899679,0.00679230396851953,"Pvalb","SM-GE66C_S100_E1-50",2
"Ephys",-0.020427326625451,-0.00955115861921101,0.00586991171724076,"Pvalb","SM-GE66P_S085_E1-50",2
"Ephys",-0.00593754873471529,-0.0193846718673876,-0.0129480040247331,"Pvalb","SM-GE66P_S086_E1-50",5
"Ephys",0.00219380816012591,0.0147840758300251,-0.00295722108245494,"Sst","SM-GE66C_S114_E1-50",3
"Ephys",0.00322655473736974,0.0150646429547469,-0.0032990545029333,"Sst","SM-GE66C_S115_E1-50",3
"Ephys",-0.00207227360161748,0.0103645290025783,-0.00806873981906307,"Sst","SM-GE66C_S108_E1-50",3
"Ephys",-0.00168975013490813,0.0110249719121106,-0.00546275040999311,"Sst","SM-GE66C_S104_E1-50",3
"Ephys",-0.0217800195032494,-0.0100559732917293,0.00674986819629879,"Pvalb","SM-GE66C_S119_E1-50",2
"Ephys",-0.0222311961563727,-0.0106649227455556,0.0069758967465758,"Pvalb","SM-GE66C_S120_E1-50",2
"Ephys",-0.0228647750453914,-0.0108810785355599,0.00723776031753641,"Pvalb","SM-GE66C_S106_E1-50",2
"Ephys",-0.0209901411170235,-0.0111858014275079,0.00554167625851155,"Pvalb","SM-GE66C_S113_E1-50",2
"Ephys",-0.00053399115247234,0.0146488999872101,-0.0080247364883705,"Sst","SM-GE66C_S129_E1-50",3
"Ephys",-0.0142301718831542,0.000234648634178173,0.000190931078929662,"Sst","SM-GE66C_S130_E1-50",5
"Ephys",0.000403018621690808,0.0149662467987074,-0.00748666481077212,"Sst","SM-GE66E_S108_E1-50",3
"Ephys",-0.00147242382358258,0.0136087858780991,-0.00762070916029172,"Sst","SM-GE66E_S113_E1-50",3
"Ephys",0.0120718918375277,-0.00319195516490369,0.0149326160732884,"Vip","SM-GE66E_S127_E1-50",1
"Ephys",0.0129924624789699,-0.0028273422799683,0.0156806783775165,"Vip","SM-GE66E_S128_E1-50",1
"Ephys",0.0142786886390086,-0.00561530267588573,0.0183091077591302,"Vip","SM-GE66E_S121_E1-50",1
"Ephys",0.0132623781431452,-0.00593738122874206,0.0143855507960072,"Vip","SM-GE66E_S122_E1-50",1
"Ephys",0.015036071899852,-0.00559812415224657,0.0217074552208361,"Vip","SM-GE66E_S135_E1-50",1
"Ephys",0.0137863024201076,-0.0055900178239124,0.0177099380928712,"Vip","SM-GE66E_S130_E1-50",1
"Ephys",0.0124409455015703,-0.00443299607726078,0.0147217725729583,"Vip","SM-GE66E_S136_E1-50",1
"Ephys",0.0135736498097604,-0.00380457894616746,0.0198955001739704,"Vip","SM-GE66E_S123_E1-50",1
"Ephys",0.00670158352237597,0.000647403881170726,0.00290502101669615,"Sncg","SM-GE66E_S142_E1-50",5
"Ephys",0.0105149680430969,0.000769247628669842,0.0134698757793657,"Vip","SM-GE66E_S131_E1-50",5
"Ephys",0.0141889752219859,-0.0057553547852685,0.0180108967077349,"Vip","SM-GE66E_S143_E1-50",1
"Ephys",0.0131524167012309,-0.00528602786343054,0.0166858719009764,"Vip","SM-GE66E_S139_E1-50",1
"Ephys",0.0137969052542839,-0.00397523390481426,0.0201453534215919,"Vip","SM-GE66E_S132_E1-50",1
"Ephys",0.0127764293446478,-0.00314256639291366,0.0169731632390708,"Vip","SM-GE66H_S005_E1-50",1
"Ephys",0.0136436528398747,-0.00443672070398817,0.0175815121340619,"Vip","SM-GE66H_S006_E1-50",1
"Ephys",0.012697190506598,-0.00585215520903573,0.0143668832595639,"Vip","SM-GE66H_S013_E1-50",1
"Ephys",0.0141200586762305,-0.00499893494337832,0.0188804082130574,"Vip","SM-GE66H_S007_E1-50",1
"Ephys",0.0141280105877276,-0.00575693523107319,0.0176199323223999,"Vip","SM-GE66H_S018_E1-50",1
"Ephys",0.0106397879137845,-0.00349251750493403,0.0142426978019665,"Vip","SM-GE66H_S019_E1-50",1
"Ephys",-0.0218851839282715,-0.00997083167536587,0.00671652943810002,"Pvalb","SM-GE66H_S028_E1-50",2
"Ephys",-0.0205010505665684,-0.00749851348014816,0.0055183872729517,"Pvalb","SM-GE66H_S047_E1-50",2
"Ephys",-0.0202076515091794,-0.00845196020208194,0.00561136063155339,"Pvalb","SM-GE66H_S041_E1-50",2
"Ephys",0.010694763486519,-0.0224855594657576,-0.0223619851653715,"Lamp5","SM-GE66H_S031_E1-50",4
"Ephys",0.0111574171490788,-0.0219295798449991,-0.0213867454966551,"Lamp5","SM-GE66H_S032_E1-50",4
"Ephys",0.00989346055162674,-0.0218317465522911,-0.0218972485097828,"Lamp5","SM-GE66H_S034_E1-50",4
"Ephys",0.00596176731794456,-0.0207381423609655,-0.0183246863724612,"Lamp5","SM-GE66H_S042_E1-50",4
"Ephys",0.0124811904074917,-0.0142437475903311,-0.00311912492522749,"Lamp5","SM-GE66H_S035_E1-50",4
"Ephys",0.00836134524377936,-0.0209867536788403,-0.0210530438532751,"Lamp5","SM-GE66H_S036_E1-50",4
"Ephys",-0.00178077462764605,0.0125587246379254,-0.00720920577431421,"Sst","SM-GE66H_S045_E1-50",3
"Ephys",0.00925562385298135,-0.00334415614123522,0.00500151172912025,"Vip","SM-GE666_S003_E1-50",5
"Ephys",0.00609833998699078,0.00076320569732473,0.00715859861995395,"Vip","SM-GE666_S012_E1-50",5
"Ephys",0.00931250358472129,-0.0203558506343448,-0.0222989985397393,"Lamp5","SM-GE666_S014_E1-50",4
"Ephys",0.000472498782214434,0.014446556780851,-0.0071721237411742,"Sst","SM-GE666_S023_E1-50",3
"Ephys",0.00843235143098972,-0.0160655060223089,-0.0175024158613552,"Lamp5","SM-GE666_S030_E1-50",4
"Ephys",-0.000192413785593521,0.0135769910283769,-0.00704612203830171,"Sst","SM-GE666_S032_E1-50",3
